|created_time|id|link|message|message_tags|name|permalink_url|place|shares|story|story_tags|type|updated_time|from_name|from_id
1394|2017-05-06T15:58:17+0000|1542121719376709_1874421026146775|https://www.facebook.com/CruzRojaGT/photos/a.1542605359328345/1874104096178468/?type=3|Recuerda que puedes participar durante el fin de semana para poder ganarte un pin de #CruzRojaGT|[]|Cruz Roja Guatemalteca|https://www.facebook.com/1542121719376709/posts/1874421026146775/|||Cruz Roja Guatemalteca shared a photo.|[{'id': '1542121719376709', 'name': 'Cruz Roja Guatemalteca', 'type': 'page', 'offset': 0, 'length': 22}, {'id': '1874104096178468', 'name': '', 'offset': 32, 'length': 5}]|photo|2017-05-06T15:58:17+0000|Cruz Roja Guatemalteca|1542121719376709
1395|2017-04-06T17:01:19+0000|1542121719376709_1859961747592703|https://www.facebook.com/CruzRojaGT/photos/a.1859961677592710/1859961747592703/?type=3|#CruzRojaGT Te esperamos hoy en la Jornada de Donación Voluntaria de Sangre en el mercado Concepción, Villa Nueva.|[]|Jornada de Donación Voluntaria de Sangre|https://www.facebook.com/1542121719376709/posts/1859961747592703/||2.0|Cruz Roja Guatemalteca added 10 new photos.|[{'id': '1542121719376709', 'name': 'Cruz Roja Guatemalteca', 'type': 'page', 'offset': 0, 'length': 22}]|photo|2017-04-06T17:01:19+0000|Cruz Roja Guatemalteca|1542121719376709
1396|2017-02-05T18:05:04+0000|1542121719376709_1830709187184626|https://www.facebook.com/CruzRojaGT/photos/a.1542605359328345/1830709187184626/?type=3|En el Km. 166 colisionan dos motoristas uno de ellos sufre lesiones leves, y es atendido por #CruzRojaGT|[]|Timeline Photos|https://www.facebook.com/1542121719376709/posts/1830709187184626/||3.0|||photo|2017-02-05T18:05:04+0000|Cruz Roja Guatemalteca|1542121719376709
1397|2016-11-11T16:57:38+0000|1542121719376709_1790879091167636||#DonemosUnSuéter|||https://www.facebook.com/notes/cruz-roja-guatemalteca/donemosunsu%C3%A9ter/1790879091167636/||4.0|Cruz Roja Guatemalteca published a note.|[{'id': '1542121719376709', 'name': 'Cruz Roja Guatemalteca', 'type': 'page', 'offset': 0, 'length': 22}]|status|2016-11-11T16:57:38+0000|Cruz Roja Guatemalteca|1542121719376709
1398|2016-08-23T14:25:20+0000|1542121719376709_1754562841465928|https://www.facebook.com/CruzRojaGT/videos/1754562841465928/|Elimina criaderos de mosquitos||Evitar el Zika, Dengue y Chikungunya depende de mí y depende d...|https://www.facebook.com/CruzRojaGT/videos/1754562841465928/||45.0|||video|2016-08-23T14:25:20+0000|Cruz Roja Guatemalteca|1542121719376709
1399|2016-07-05T15:21:41+0000|1542121719376709_1733623390226540|https://www.facebook.com/CruzRojaGT/videos/1733623390226540/|Elimina criaderos||Evitar el Zika, Dengue y Chikungunya depende de mí y depende d...|https://www.facebook.com/CruzRojaGT/videos/1733623390226540/||44.0|||video|2016-07-05T15:21:41+0000|Cruz Roja Guatemalteca|1542121719376709
1400|2016-05-11T15:14:37+0000|1542121719376709_1711514185770794|https://www.facebook.com/CruzRojaGT/photos/a.1542605359328345/1711514185770794/?type=3|Amar al prójimo debe ser tan natural como vivir y respirar. -Madre Teresa de Calcuta-||Timeline Photos|https://www.facebook.com/1542121719376709/posts/1711514185770794/||15.0|||photo|2016-05-11T15:14:37+0000|Cruz Roja Guatemalteca|1542121719376709
1401|2016-04-14T18:41:34+0000|1542121719376709_1701007526821460|https://www.facebook.com/CruzRojaGT/photos/a.1701007510154795/1701007526821460/?type=3|||Jornada de Donación de Voluntaria de Sangre en Call Center 24/7|https://www.facebook.com/1542121719376709/posts/1701007526821460/||5.0|Cruz Roja Guatemalteca added 8 new photos.|[{'id': '1542121719376709', 'name': 'Cruz Roja Guatemalteca', 'type': 'page', 'offset': 0, 'length': 22}]|photo|2016-04-14T20:16:47+0000|Cruz Roja Guatemalteca|1542121719376709
1402|2016-02-06T20:04:53+0000|1542121719376709_1673624042893142|https://www.facebook.com/CruzRojaGT/photos/a.1542605359328345/1673624042893142/?type=3|#CruzRojaGt en calidad de prevención km 126 carretera al atlántico #CaravanaDelZorro|[]|Timeline Photos|https://www.facebook.com/1542121719376709/posts/1673624042893142/||4.0|||photo|2016-02-06T20:04:53+0000|Cruz Roja Guatemalteca|1542121719376709
1403|2015-11-26T20:51:10+0000|1542121719376709_1648946515360895|https://www.facebook.com/CruzRojaGT/photos/a.1648946365360910/1648946392027574/?type=3|||Formación de Equipo Nacional de Intervención en Desastres|https://www.facebook.com/1542121719376709/posts/1648946515360895/||4.0|Cruz Roja Guatemalteca added 4 new photos.|[{'id': '1542121719376709', 'name': 'Cruz Roja Guatemalteca', 'type': 'page', 'offset': 0, 'length': 22}]|photo|2015-11-26T20:51:10+0000|Cruz Roja Guatemalteca|1542121719376709
