,address,lat,lon,name
93,"Burgemeester Leenstraat 25  Lochem,  Gelderland 7242 AA",52.1592298,6.4131823,Afdeling De Graafschap
94,"James Ensorstraat 3  Waalwijk,  Noord-Brabant 5143 HC",51.6792489,5.0877338,Afdeling De Langstraat
95,"James Ensorstraat 3  Waalwijk,  Noord-Brabant 5143 HC",51.6792489,5.0877338,Afdeling De Langstraat
96,"Wolvenweg 27  Ruinen,  Drenthe 7963 BG",52.7614088,6.3540781,Afdeling De Wolden
97,"Torendreef 22  Bladel,  Noord-Brabant 5531 ET",51.3702621,5.2248958,Afdeling De Zaligheden
98,"Vulcanusweg 263  Delft,  Zuid-Holland 2624 AV",51.9967564,4.3605177,Afdeling Delft Midden-Delfland
99,"Vulcanusweg 263  Delft,  Zuid-Holland 2624 AV",51.9967564,4.3605177,Afdeling Delft Midden-Delfland
100,"Vulcanusweg 263  Delft,  Zuid-Holland 2624 AV",51.9967564,4.3605177,Afdeling Delft Midden-Delfland
101,"Zilverstraat 2  Den Haag,  Zuid-Holland 2544 ER",52.0513328,4.2608382,Afdeling Den Haag-Rijswijk
102,"Zilverstraat 2  Den Haag,   ",52.0512932,4.2609512,Afdeling Den Haag-Rijswijk
103,"Bankastraat 27  Den Helder,  Noord-Holland 1782 TA",52.9583272,4.7496775,Afdeling Den Helder
104,"Bankastraat 27  Den Helder,  Noord-Holland 1782 TA",52.9583272,4.7496775,Afdeling Den Helder
105,"H G Gooszenstraat 10  Deventer,  Overijssel 7415 CL",52.2632887,6.1670674,Afdeling Deventer
106,"H G Gooszenstraat 10  Deventer,  Overijssel 7415 CL",52.2632887,6.1670674,Afdeling Deventer
107,"H G Gooszenstraat 10  Deventer,  Overijssel 7415 CL",52.2632887,6.1670674,Afdeling Deventer
108,"Nordhornsestraat 64  Denekamp,  Overijssel 7591 BH",52.3799015,7.0107963,Afdeling Dinkelland-Oldenzaal
109,"Nordhornsestraat 64  Denekamp,  Overijssel 7591 BH",52.3796845,7.0113573,Afdeling Dinkelland-Oldenzaal
110,"Klaverweide 20  Giesbeek,  Gelderland 6987 DB",51.9911275,6.0636252,Afdeling Doesburg e.o.
111,"Klaverweide 20  Giesbeek,  Gelderland 6987 DB",51.9911275,6.0636252,Afdeling Doesburg e.o.
112,"Klaverweide 20  Giesbeek,  Gelderland 6987 DB",51.9911275,6.0636252,Afdeling Doesburg e.o.
113,"Bachlaan 7  Doetinchem,  Gelderland 7002 MZ",51.96683,6.301705,Afdeling Doetinchem
