,Unnamed: 0,fb_id,fb_name,tw_id,tw_name,type,address,latitude,longitude
18,18,238415626178465,Rode Kruis Ede,,,branch,Klinkenbergerweg 30c 6711 MK Ede Netherlands ,52.040259999999996,5.67092
19,19,459686921046656,Rode Kruis Studentendesk Delft,,,branch,Vulcanusweg 263 2624AV Delft Netherlands ,51.99673,4.36036
20,20,234590103682131,Rode Kruis Kerkrade e.o.,,,branch,Hoofdstraat 24b 6461CR Kerkrade Netherlands ,50.864259999999994,6.06626
21,21,535212706999090,Rode Kruis district Rotterdam-Rijnmond,,,branch,Leeuwenstraat 9 3011 AL Rotterdam Netherlands ,51.921363799999995,4.482181400000001
22,22,268578619850608,Rode Kruis Studentendesk Utrecht,,,branch,Koningsweg 2 3582 GE Utrecht Netherlands ,52.07744,5.13323
23,23,1123994301053980,Rode Kruis Bodegraven,,,branch,Koninginneweg 3A 2411 xk Bodegraven Netherlands ,52.08746,4.75571
24,24,1496796547204864,Rode Kruis Dronten,,,branch,Gouwe 50 Dronten Netherlands ,52.539680000000004,5.70125
25,25,545790135488335,Rode Kruis Fryslân,,,branch,James Wattstraat 4 8912 AR Leeuwarden Netherlands ,53.1919,5.77095
26,26,1537051933271578,Rode Kruis Rhenen,,,branch,Kerkstraat 1 3911 LD Rhenen Netherlands ,51.95704,5.5652099999999995
27,27,245353695653535,Rode Kruis Zaanstreek-Waterland,,,branch,Waterlandlaan 101 1441 RT Purmerend Netherlands ,52.50318910000001,4.96101
28,28,447176062025726,Rode Kruis Studentendesk Groningen,,,branch,Atoomweg 2b 9743 AK Groningen Netherlands ,53.213519999999995,6.53913
29,29,783216308392947,Rode Kruis Liemers-Oost,,,branch,Vincent van Goghstraat 4 6901 DK Zevenaar Netherlands ,51.930232033808004,6.068218946456901
30,30,341296749401948,Rode Kruis Schagen EHV team,,,branch,1740 Schagen Netherlands ,52.788091200000004,4.8043998
31,31,162755137210475,Rode Kruis Hellendoorn-Nijverdal,,,branch,Rembrandtplein 21 7442 KH Nijverdal Netherlands ,52.3599,6.46636
32,32,278427178857123,Rode Kruis Studentendesk Tilburg,,,branch,Leonard van Vechelstraat 2 5014 HD Tilburg Netherlands ,51.563590000000005,5.09129
33,33,1601408603510239,Rode Kruis Afdeling Haarlemmermeer,,,branch,Nieuweweg 33B 2132 CK Hoofddorp Netherlands ,52.30519349999999,4.699568699999999
34,34,782597491751372,Rode Kruis Haaksbergen,,,branch,Adriaen Brouwerstraat 10 7482 ZK Haaksbergen Netherlands ,52.16126,6.7278199999999995
35,35,379809079126638,Rode Kruis afdeling Salland Midden,,,branch,Westdorplaan 132a 8101 PP Raalte Netherlands ,52.37747,6.26976
36,36,199146423494228,Rode Kruis Studentendesk Nijmegen,,,branch,Gelderselaan 14 6523 LJ Nijmegen Netherlands ,51.832506459261,5.874044221743901
37,37,421845151182627,Rode Kruis Bommelerwaard,,,branch,Steenweg 83 5301 HK Zaltbommel Netherlands ,51.80166,5.24334
38,38,182959271797060,Rode Kruis Eindhoven e.o.,,,branch,Willem van Konijnenburglaan 6 5613 DW Eindhoven Netherlands ,51.43887,5.49507
39,39,409220462485431,Rode Kruis Drenthe,,,branch,Bellweg 2 9411 PV Beilen Netherlands ,52.85233,6.51773
40,40,113575668794061,Rode Kruis locatie Roermond,,,branch,Roermond Netherlands ,51.207023831107996,5.9992453908909
41,41,462735207133733,"Rode Kruis Maastricht, Meerssen, Mergelland",,,branch,Cortenstraat 7 6211 HT Maastricht Netherlands ,50.84682,5.692179900000001
42,42,1513163278997069,Rode Kruis Zuidoost-Groningen,,,branch,Burgemeester van Sevenhovenstraat 47 9503 CD Stadskanaal Netherlands ,52.98665,6.9467300000000005
43,43,1021280501257840,Rode Kruis Haarlem e.o.,,,branch,Vergierdeweg 52 2025 TK Haarlem Netherlands ,52.414531700000005,4.6521301
44,44,299801923504570,Rode Kruis Afdeling Almelo,,,branch,Hofkampstraat 102 7607 NJ Almelo Netherlands ,52.35327,6.67358
45,45,144070685697736,Rode Kruis Kampen-IJsselmuiden,,,branch,wilhelminalaan 20 Kampen Netherlands ,52.5608375,5.90710309
46,46,1976029439193376,Rode Kruis District Kennemerland,,,branch,Vergierdeweg 52 2025 TK Haarlem Netherlands ,52.4144999,4.6521
47,47,208535842602519,Rode Kruis afdeling Lelystad,,,branch,Wigstraat 15 8223EE Lelystad Netherlands ,52.523282886000004,5.4941899705
48,48,402183293281953,Rode Kruis Noordoostpolder,,,branch,Oud Espelerweg 4 8303 HW Emmeloord Netherlands ,52.7246,5.748130000000001
49,49,1686929041520765,Rode Kruis Roosendaal,,,branch,Gezellelaan 18e 4707CD Roosendaal Netherlands ,51.519690000000004,4.4625899
50,50,218166075038732,Rode Kruis Hengelo,,,branch,Marnixstraat 1 7553LC Hengelo Netherlands ,52.252764724767,6.8000650405884
51,51,496332513877407,"Rode Kruis Hattem-Wapenveld, Heerde-Epe",,,branch,van galenstraat 40 8151vc Hattem Netherlands ,52.47248165443,6.0641527175903
52,52,150818164979368,Rode Kruis Leiden e.o.,,,branch,Apollolaan 1b 2324 BR Leiden Netherlands ,52.139693626317,4.4765904569
53,53,593699237322941,Rode Kruis Zoetermeer,,,branch,Clauslaan 2a 2713 VN Zoetermeer Netherlands ,52.05494,4.487419999999999
54,54,225916940936643,Rode Kruis West-Friesland,,,branch,Hoorn Netherlands ,52.65074,5.05964
55,55,1576364812609988,Rode Kruis Humanitair Oorlogsrecht,,,branch,Anna van Saksenlaan The Hague Netherlands ,52.08122059999999,4.345960900000001
56,56,436442503109542,Rode Kruis Studentendesk Zeeland,,,branch,Middelburg Netherlands ,51.49879620000001,3.6109980000000004
57,57,414076372048376,Rode Kruis Nunspeet,,,branch,Elburgerweg 11 8071 TA Nunspeet Netherlands ,52.38245,5.78366
58,58,697979610277337,Het Nederlandse Rode Kruis / District Midden- en West-Brabant,,,branch,Karmel 225 4613 BS Bergen op Zoom Netherlands ,51.5030394,4.2773428
59,59,2702637096628287,Logistiek Nationaal Rode Kruis,,,branch,Kraaienweg 30a 7331 HZ Apeldoorn Netherlands ,52.1975869,5.9650305999999995
60,60,948878468525622,Rode Kruis Eijsden-Margraten,,,branch,Kerkeweg 2 6245 HM Eijsden Netherlands ,50.77708,5.70252
61,61,288708527922591,Rode Kruis Sittard e.o.,,,branch,Hemelsley 20 6136 HM Sittard Netherlands ,51.004670000000004,5.87896
62,62,284665134969395,Rode Kruis Verbindingsdienst Noord,,,branch,Assen Netherlands ,52.9964,6.53719
63,63,1772208569689805,Rode Kruis Doetinchem,,,branch,Bachlaan 7 7002 MZ Doetinchem Netherlands ,51.9670888,6.3029552
64,64,173365182841622,Rode Kruis afdeling Zeewolde,,,branch,schokker 40 3891 dp Zeewolde Netherlands ,52.334739899999995,5.53127
65,65,480717841992847,Rode Kruis Betuwegaerde,,,branch,Haaftenlaan 26 Tiel Netherlands ,51.87843,5.40749
66,66,511421175889102,Rode Kruis Lingewaard-Overbetuwe,,,branch,Elster Grindweg 3 6665 NC Driel Netherlands ,51.94978,5.81733
67,67,1104729609589451,Rode Kruis Oss eo,,,branch,Kromstraat 45 5345AA Oss Netherlands ,51.76175,5.51422
68,68,350402148378934,Rode Kruis Nieuwe Waterweg Noord,,,branch,Trimpad 4 3135 GA Vlaardingen Netherlands ,51.922540000000005,4.36333
